,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1162,2011-03-13 03:00:00,1,0,0,1,13.94,16.665,76,8.9981,6,17,23
3757,2011-09-07 12:00:00,3,0,1,3,22.96,26.515,94,0.0,1,21,22
5282,2011-12-14 04:00:00,4,0,1,1,10.66,15.15,75,0.0,0,4,4
5811,2012-01-17 08:00:00,1,0,1,3,12.3,14.395,81,19.0012,3,90,93
3322,2011-08-08 08:00:00,3,0,1,1,30.34,34.09,58,22.0028,29,320,349
617,2011-02-08 21:00:00,1,0,1,1,5.74,5.305,33,31.0009,8,46,54
4266,2011-10-09 19:00:00,4,0,0,1,22.96,26.515,73,6.0032,116,186,302
1569,2011-04-11 07:00:00,2,0,1,2,20.5,24.24,88,15.0013,12,164,176
3695,2011-09-04 21:00:00,3,0,0,1,29.52,34.85,74,16.9979,104,103,207
865,2011-02-19 12:00:00,1,0,0,1,18.04,21.97,18,32.9975,38,81,119
432,2011-02-01 01:00:00,1,0,1,2,6.56,9.09,69,7.0015,0,3,3
6428,2012-03-05 02:00:00,1,0,1,1,9.84,12.12,48,8.9981,1,3,4
8138,2012-06-19 11:00:00,2,0,1,1,27.06,31.06,69,8.9981,56,174,230
6607,2012-03-12 14:00:00,1,0,1,2,23.78,27.275,32,19.0012,76,145,221
7924,2012-06-10 13:00:00,2,0,0,1,34.44,36.365,28,8.9981,204,288,492
1866,2011-05-04 16:00:00,2,0,1,1,20.5,24.24,45,31.0009,22,173,195
7545,2012-05-13 18:00:00,2,0,0,2,27.88,31.82,44,23.9994,129,260,389
1521,2011-04-09 06:00:00,2,0,0,2,12.3,14.395,93,12.998,0,13,13
9150,2012-09-04 15:00:00,3,0,1,1,32.8,38.635,59,31.0009,68,224,292
7416,2012-05-08 09:00:00,2,0,1,2,22.96,26.515,68,23.9994,37,258,295
10496,2012-12-03 18:00:00,4,0,1,1,20.5,24.24,68,6.0032,26,666,692
3108,2011-07-18 10:00:00,3,0,1,1,31.16,35.605,62,12.998,52,78,130
1417,2011-04-04 22:00:00,2,0,1,2,27.88,31.82,36,31.0009,17,58,75
4572,2011-11-03 14:00:00,4,0,1,1,21.32,25.0,52,11.0014,32,120,152
6613,2012-03-12 20:00:00,1,0,1,2,22.96,26.515,49,15.0013,49,237,286
3978,2011-09-16 19:00:00,3,0,1,2,20.5,24.24,55,11.0014,59,256,315
1679,2011-04-15 21:00:00,2,1,0,2,16.4,20.455,76,19.9995,25,77,102
9651,2012-10-06 12:00:00,4,0,0,1,28.7,32.575,54,7.0015,362,381,743
5043,2011-12-04 05:00:00,4,0,0,1,10.66,15.15,81,0.0,2,2,4
7995,2012-06-13 12:00:00,2,0,1,2,27.88,31.82,44,27.9993,93,241,334
6695,2012-03-16 06:00:00,1,0,1,2,16.4,20.455,87,11.0014,3,96,99
6019,2012-02-07 01:00:00,1,0,1,1,11.48,14.395,61,8.9981,8,6,14
3060,2011-07-16 10:00:00,3,0,0,1,29.52,33.335,54,12.998,114,208,322
7672,2012-05-19 01:00:00,2,0,0,1,20.5,24.24,48,0.0,20,84,104
2169,2011-05-17 07:00:00,2,0,1,2,21.32,25.0,94,16.9979,13,138,151
2420,2011-06-08 18:00:00,2,0,1,1,36.9,40.91,37,15.0013,61,398,459
7879,2012-06-08 16:00:00,2,0,1,1,31.16,33.335,29,19.9995,111,412,523
5230,2011-12-12 00:00:00,4,0,1,1,8.2,11.365,69,6.0032,4,16,20
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182
5601,2012-01-08 12:00:00,1,0,0,1,15.58,19.695,43,15.0013,78,273,351
3241,2011-08-04 23:00:00,3,0,1,1,27.06,31.06,74,7.0015,24,108,132
6468,2012-03-06 18:00:00,1,0,1,1,13.94,15.15,42,22.0028,15,442,457
4881,2011-11-16 11:00:00,4,0,1,3,18.86,22.725,94,6.0032,7,53,60
5676,2012-01-11 16:00:00,1,0,1,2,13.94,15.91,87,16.9979,6,112,118
4964,2011-11-19 22:00:00,4,0,0,2,15.58,19.695,62,11.0014,26,80,106
6959,2012-04-08 07:00:00,2,0,0,1,15.58,19.695,27,11.0014,12,25,37
4716,2011-11-09 14:00:00,4,0,1,1,21.32,25.0,48,11.0014,26,153,179
3385,2011-08-10 23:00:00,3,0,1,1,30.34,32.575,37,6.0032,14,94,108
2893,2011-07-09 11:00:00,3,0,0,1,31.98,34.85,46,19.9995,101,189,290
1748,2011-04-18 18:00:00,2,0,1,1,26.24,31.06,31,23.9994,41,321,362
10544,2012-12-05 18:00:00,4,0,1,1,17.22,21.21,35,30.0026,29,580,609
5299,2011-12-14 21:00:00,4,0,1,2,13.94,16.665,66,11.0014,9,145,154
7975,2012-06-12 16:00:00,2,0,1,2,27.06,29.545,89,19.0012,30,209,239
8218,2012-07-03 19:00:00,3,0,1,2,34.44,37.12,36,8.9981,66,431,497
9523,2012-10-01 04:00:00,4,0,1,1,17.22,21.21,82,7.0015,0,10,10
2667,2011-06-19 01:00:00,2,0,0,2,28.7,32.575,65,6.0032,17,59,76
1850,2011-05-04 00:00:00,2,0,1,3,21.32,25.0,77,11.0014,5,22,27
6706,2012-03-16 17:00:00,1,0,1,3,19.68,23.485,82,6.0032,23,235,258
5825,2012-01-17 22:00:00,1,0,1,1,18.86,22.725,72,26.0027,5,85,90
2549,2011-06-14 03:00:00,2,0,1,1,23.78,27.275,53,22.0028,1,1,2
527,2011-02-05 03:00:00,1,0,0,2,9.84,12.12,75,11.0014,1,10,11
7217,2012-04-19 02:00:00,2,0,1,2,17.22,21.21,77,0.0,2,4,6
10754,2012-12-14 12:00:00,4,0,1,1,14.76,17.425,50,12.998,29,244,273
3200,2011-08-03 06:00:00,3,0,1,3,29.52,34.09,66,32.9975,9,101,110
6050,2012-02-08 08:00:00,1,0,1,2,9.84,11.365,70,15.0013,13,495,508
5596,2012-01-08 07:00:00,1,0,0,2,12.3,16.665,52,0.0,1,23,24
9493,2012-09-18 22:00:00,3,0,1,3,23.78,27.275,83,31.0009,14,137,151
7167,2012-04-17 00:00:00,2,0,1,1,27.06,31.06,54,12.998,10,33,43
2448,2011-06-09 22:00:00,2,0,1,2,30.34,34.09,58,11.0014,22,131,153
6149,2012-02-12 11:00:00,1,0,0,1,4.92,5.305,42,19.9995,3,121,124
2971,2011-07-12 17:00:00,3,0,1,1,36.08,40.91,44,19.0012,48,380,428
10324,2012-11-15 14:00:00,4,0,1,2,15.58,19.695,54,11.0014,27,174,201
10557,2012-12-06 07:00:00,4,0,1,1,9.02,10.605,51,19.9995,8,381,389
8421,2012-07-12 06:00:00,3,0,1,1,26.24,30.305,73,6.0032,7,171,178
10399,2012-11-18 17:00:00,4,0,0,2,15.58,19.695,66,16.9979,48,232,280
9648,2012-10-06 09:00:00,4,0,0,1,24.6,29.545,73,12.998,130,265,395
7029,2012-04-11 06:00:00,2,0,1,1,11.48,14.395,56,7.0015,3,103,106
1897,2011-05-05 23:00:00,2,0,1,1,18.86,22.725,41,12.998,16,99,115
3803,2011-09-09 11:00:00,3,0,1,2,25.42,27.275,94,0.0,6,66,72
9237,2012-09-08 06:00:00,3,0,0,2,27.06,29.545,89,19.0012,8,26,34
9602,2012-10-04 11:00:00,4,0,1,2,28.7,32.575,70,7.0015,38,176,214
7127,2012-04-15 08:00:00,2,0,0,1,21.32,25.0,59,0.0,33,64,97
1256,2011-03-17 04:00:00,1,0,1,1,13.94,16.665,71,12.998,0,3,3
4068,2011-10-01 13:00:00,4,0,0,2,16.4,20.455,82,22.0028,27,98,125
8424,2012-07-12 09:00:00,3,0,1,1,29.52,33.335,58,7.0015,42,285,327
8897,2012-08-13 02:00:00,3,0,1,1,26.24,30.305,69,7.0015,1,8,9
4373,2011-10-14 06:00:00,4,0,1,3,22.96,26.515,88,12.998,4,90,94
8058,2012-06-16 03:00:00,2,0,0,1,22.96,26.515,60,6.0032,8,19,27
2785,2011-07-04 23:00:00,3,1,0,2,29.52,34.09,70,7.0015,44,94,138
8428,2012-07-12 13:00:00,3,0,1,1,32.8,34.85,33,15.0013,52,225,277
9253,2012-09-08 22:00:00,3,0,0,2,23.78,27.275,78,19.9995,18,176,194
2881,2011-07-08 23:00:00,3,0,1,2,27.06,30.305,78,6.0032,40,111,151
4748,2011-11-10 22:00:00,4,0,1,1,14.76,16.665,53,19.0012,5,84,89
4956,2011-11-19 14:00:00,4,0,0,1,17.22,21.21,32,19.9995,121,228,349
8556,2012-07-17 21:00:00,3,0,1,1,33.62,38.635,52,8.9981,50,283,333
2480,2011-06-11 06:00:00,2,0,0,1,28.7,32.575,61,8.9981,9,31,40
6825,2012-04-02 17:00:00,2,0,1,1,20.5,24.24,29,19.0012,128,601,729
603,2011-02-08 07:00:00,1,0,1,1,9.84,9.85,65,27.9993,3,97,100
7327,2012-05-04 16:00:00,2,0,1,1,31.16,34.09,48,11.0014,82,358,440
6445,2012-03-05 19:00:00,1,0,1,1,10.66,12.88,53,15.0013,6,220,226
5562,2012-01-06 21:00:00,1,0,1,1,16.4,20.455,43,15.0013,17,137,154
3272,2011-08-06 06:00:00,3,0,0,1,26.24,28.79,89,7.0015,5,22,27
4524,2011-11-01 14:00:00,4,0,1,1,20.5,24.24,48,16.9979,32,118,150
5985,2012-02-05 14:00:00,1,0,0,1,12.3,15.15,61,11.0014,40,203,243
3310,2011-08-07 20:00:00,3,0,0,1,29.52,35.605,84,8.9981,50,133,183
4754,2011-11-11 04:00:00,4,1,0,1,12.3,14.395,61,12.998,0,8,8
2445,2011-06-09 19:00:00,2,0,1,2,34.44,37.12,39,22.0028,55,271,326
5453,2012-01-02 08:00:00,1,1,0,1,9.84,11.365,35,16.9979,2,51,53
6916,2012-04-06 12:00:00,2,0,1,1,17.22,21.21,35,19.9995,113,224,337
2874,2011-07-08 16:00:00,3,0,1,3,27.88,31.82,83,30.0026,27,105,132
735,2011-02-14 00:00:00,1,0,1,1,15.58,19.695,37,23.9994,3,8,11
9284,2012-09-10 05:00:00,3,0,1,1,20.5,24.24,72,16.9979,4,36,40
2435,2011-06-09 09:00:00,2,0,1,1,34.44,39.395,49,0.0,20,148,168
7876,2012-06-08 13:00:00,2,0,1,1,30.34,32.575,37,16.9979,129,287,416
9260,2012-09-09 05:00:00,3,0,0,1,21.32,25.0,77,12.998,16,39,55
4354,2011-10-13 11:00:00,4,0,1,2,25.42,28.79,83,0.0,8,76,84
2355,2011-06-06 01:00:00,2,0,1,1,24.6,28.03,83,8.9981,9,5,14
9537,2012-10-01 18:00:00,4,0,1,3,22.96,26.515,64,7.0015,42,571,613
8828,2012-08-10 05:00:00,3,0,1,3,28.7,33.335,84,19.0012,4,29,33
9492,2012-09-18 21:00:00,3,0,1,2,24.6,27.275,88,12.998,21,186,207
6089,2012-02-09 23:00:00,1,0,1,2,12.3,16.665,52,0.0,9,75,84
785,2011-02-16 04:00:00,1,0,1,1,8.2,9.85,51,12.998,0,1,1
9224,2012-09-07 17:00:00,3,0,1,1,31.98,37.12,59,22.0028,88,684,772
807,2011-02-17 02:00:00,1,0,1,2,13.94,15.91,53,15.0013,2,4,6
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
2135,2011-05-15 21:00:00,2,0,0,1,22.14,25.76,88,0.0,44,107,151
181,2011-01-08 20:00:00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
3051,2011-07-16 01:00:00,3,0,0,1,24.6,29.545,69,7.0015,24,51,75
6092,2012-02-10 02:00:00,1,0,1,1,10.66,14.395,52,6.0032,7,9,16
3344,2011-08-09 06:00:00,3,0,1,1,29.52,33.335,64,0.0,6,95,101
778,2011-02-15 20:00:00,1,0,1,1,10.66,13.635,33,7.0015,3,98,101
6902,2012-04-05 22:00:00,2,0,1,1,16.4,20.455,47,12.998,20,129,149
4944,2011-11-19 02:00:00,4,0,0,1,9.84,12.12,56,11.0014,12,34,46
1148,2011-03-12 12:00:00,1,0,0,1,13.94,15.91,53,19.0012,51,107,158
7021,2012-04-10 21:00:00,2,0,1,1,18.04,21.97,30,30.0026,15,191,206
8289,2012-07-06 18:00:00,3,0,1,1,36.9,40.15,33,16.9979,106,454,560
3088,2011-07-17 14:00:00,3,0,0,1,32.8,37.12,49,23.9994,168,262,430
8482,2012-07-14 19:00:00,3,0,0,1,29.52,35.605,84,6.0032,156,275,431
10069,2012-11-04 22:00:00,4,0,0,1,12.3,14.395,52,19.0012,15,64,79
645,2011-02-10 02:00:00,1,0,1,3,5.74,7.575,80,8.9981,0,3,3
2822,2011-07-06 12:00:00,3,0,1,2,30.34,34.85,66,6.0032,38,114,152
9565,2012-10-02 22:00:00,4,0,1,2,25.42,27.275,94,7.0015,28,212,240
9340,2012-09-12 13:00:00,3,0,1,1,28.7,31.82,34,8.9981,85,238,323
5163,2011-12-09 05:00:00,4,0,1,1,9.02,13.635,80,0.0,0,20,20
9960,2012-10-19 09:00:00,4,0,1,2,22.14,25.76,94,7.0015,26,363,389
7710,2012-06-01 15:00:00,2,0,1,3,29.52,34.09,66,19.0012,45,213,258
6459,2012-03-06 09:00:00,1,0,1,1,9.02,13.635,47,0.0,11,222,233
5494,2012-01-04 01:00:00,1,0,1,1,1.64,1.515,38,19.9995,0,3,3
2315,2011-06-04 09:00:00,2,0,0,1,25.42,31.06,43,8.9981,55,169,224
3099,2011-07-18 01:00:00,3,0,1,1,28.7,33.335,74,15.0013,17,8,25
9548,2012-10-02 05:00:00,4,0,1,2,22.96,26.515,83,8.9981,1,42,43
581,2011-02-07 09:00:00,1,0,1,1,9.02,13.635,80,0.0,3,115,118
7351,2012-05-05 16:00:00,2,0,0,2,27.88,31.82,65,26.0027,230,310,540
1942,2011-05-07 20:00:00,2,0,0,1,22.96,26.515,43,8.9981,82,137,219
7342,2012-05-05 07:00:00,2,0,0,1,22.96,26.515,88,0.0,8,79,87
4071,2011-10-01 16:00:00,4,0,0,2,16.4,20.455,76,19.9995,58,165,223
2099,2011-05-14 09:00:00,2,0,0,2,21.32,25.0,94,6.0032,14,86,100
6151,2012-02-12 13:00:00,1,0,0,1,6.56,6.06,40,30.0026,10,128,138
9734,2012-10-09 23:00:00,4,0,1,2,19.68,23.485,77,6.0032,8,76,84
9486,2012-09-18 15:00:00,3,0,1,3,24.6,27.275,88,16.9979,1,35,36
9992,2012-11-01 17:00:00,4,0,1,3,16.4,20.455,50,15.0013,37,652,689
6876,2012-04-04 20:00:00,2,0,1,1,26.24,31.06,27,15.0013,39,333,372
5984,2012-02-05 13:00:00,1,0,0,2,11.48,13.635,61,11.0014,33,241,274
861,2011-02-19 08:00:00,1,0,0,1,15.58,19.695,17,39.0007,9,36,45
5158,2011-12-09 00:00:00,4,0,1,1,9.84,14.395,65,0.0,8,26,34
4317,2011-10-11 22:00:00,4,0,1,2,22.96,26.515,83,12.998,27,120,147
1531,2011-04-09 16:00:00,2,0,0,2,15.58,19.695,82,0.0,73,118,191
8345,2012-07-09 02:00:00,3,0,1,3,28.7,33.335,89,12.998,1,4,5
10509,2012-12-04 07:00:00,4,0,1,1,17.22,21.21,88,8.9981,7,495,502
6007,2012-02-06 13:00:00,1,0,1,1,15.58,19.695,40,15.0013,17,124,141
1362,2011-04-02 15:00:00,2,0,0,3,13.94,15.15,76,26.0027,72,64,136
8508,2012-07-15 21:00:00,3,0,0,1,29.52,34.85,79,6.0032,59,164,223
2036,2011-05-11 18:00:00,2,0,1,1,25.42,31.06,50,19.9995,40,234,274
6941,2012-04-07 13:00:00,2,0,0,1,20.5,24.24,22,12.998,355,288,643
3870,2011-09-12 07:00:00,3,0,1,1,23.78,27.275,83,0.0,12,300,312
10527,2012-12-05 01:00:00,4,0,1,1,21.32,25.0,55,22.0028,0,11,11
458,2011-02-02 04:00:00,1,0,1,3,9.02,10.605,93,19.0012,0,1,1
9052,2012-08-19 13:00:00,3,0,0,3,26.24,28.79,83,8.9981,50,112,162
9713,2012-10-09 02:00:00,4,0,1,3,14.76,16.665,87,16.9979,2,5,7
5426,2012-01-01 04:00:00,1,0,0,1,11.48,15.15,81,6.0032,0,8,8
3207,2011-08-03 13:00:00,3,0,1,2,31.16,35.605,58,15.0013,37,107,144
10301,2012-11-14 15:00:00,4,0,1,1,14.76,16.665,43,19.0012,32,228,260
9662,2012-10-06 23:00:00,4,0,0,1,18.04,21.97,62,8.9981,37,142,179
1729,2011-04-17 23:00:00,2,0,0,1,18.04,21.97,67,11.0014,19,37,56
8600,2012-07-19 17:00:00,3,0,1,1,35.26,39.395,41,0.0,93,678,771
5111,2011-12-07 01:00:00,4,0,1,2,18.86,22.725,100,16.9979,4,9,13
6274,2012-02-17 16:00:00,1,0,1,1,17.22,21.21,32,19.9995,56,251,307
6884,2012-04-05 04:00:00,2,0,1,1,15.58,19.695,43,19.0012,0,1,1
1668,2011-04-15 10:00:00,2,1,0,1,20.5,24.24,55,12.998,31,91,122
1393,2011-04-03 22:00:00,2,0,0,1,16.4,20.455,43,7.0015,7,29,36
6145,2012-02-12 07:00:00,1,0,0,1,3.28,4.545,53,12.998,0,18,18
5006,2011-12-02 16:00:00,4,0,1,1,17.22,21.21,41,6.0032,22,254,276
1939,2011-05-07 17:00:00,2,0,0,1,23.78,27.275,40,15.0013,138,216,354
3887,2011-09-13 00:00:00,3,0,1,1,24.6,27.275,88,7.0015,7,19,26
7177,2012-04-17 10:00:00,2,0,1,1,24.6,31.06,38,27.9993,52,165,217
4076,2011-10-01 21:00:00,4,0,0,3,14.76,18.18,87,7.0015,3,53,56
8302,2012-07-07 07:00:00,3,0,0,1,31.98,37.88,66,7.0015,8,63,71
7019,2012-04-10 19:00:00,2,0,1,1,21.32,25.0,20,23.9994,51,428,479
813,2011-02-17 08:00:00,1,0,1,1,13.12,16.665,57,6.0032,18,267,285
5975,2012-02-05 04:00:00,1,0,0,2,9.84,12.12,87,8.9981,0,9,9
5663,2012-01-11 03:00:00,1,0,1,1,9.02,13.635,80,0.0,0,4,4
7372,2012-05-06 13:00:00,2,0,0,2,24.6,30.305,64,0.0,197,368,565
147,2011-01-07 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63
4501,2011-10-19 15:00:00,4,0,1,3,22.14,25.76,100,8.9981,21,99,120
5509,2012-01-04 16:00:00,1,0,1,2,7.38,8.335,40,19.0012,8,123,131
9406,2012-09-15 07:00:00,3,0,0,1,22.14,25.76,52,19.0012,10,63,73
2684,2011-06-19 18:00:00,2,0,0,2,30.34,34.09,58,6.0032,78,218,296
4682,2011-11-08 04:00:00,4,0,1,1,12.3,16.665,87,0.0,0,4,4
10429,2012-11-19 23:00:00,4,0,1,1,13.94,17.425,66,7.0015,2,72,74
280,2011-01-13 03:00:00,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
5843,2012-01-18 16:00:00,1,0,1,1,11.48,11.365,30,35.0008,13,163,176
5474,2012-01-03 05:00:00,1,0,1,1,5.74,6.82,54,12.998,0,12,12
8812,2012-08-09 13:00:00,3,0,1,1,35.26,39.395,41,7.0015,80,201,281
3991,2011-09-17 08:00:00,3,0,0,2,18.86,22.725,77,16.9979,27,81,108
7456,2012-05-10 01:00:00,2,0,1,2,19.68,23.485,88,8.9981,2,9,11
2312,2011-06-04 06:00:00,2,0,0,1,22.14,25.76,60,0.0,11,17,28
3678,2011-09-04 04:00:00,3,0,0,1,26.24,28.79,83,11.0014,0,4,4
7989,2012-06-13 06:00:00,2,0,1,1,24.6,28.03,83,15.0013,6,188,194
10341,2012-11-16 07:00:00,4,0,1,2,12.3,15.15,61,11.0014,5,362,367
9484,2012-09-18 13:00:00,3,0,1,2,28.7,33.335,74,39.0007,17,97,114
3951,2011-09-15 16:00:00,3,0,1,2,22.14,25.76,77,31.0009,29,193,222
8382,2012-07-10 15:00:00,3,0,1,1,32.8,35.605,41,15.0013,77,188,265
3730,2011-09-06 09:00:00,3,0,1,2,22.14,25.76,81,27.9993,18,167,185
8286,2012-07-06 15:00:00,3,0,1,1,37.72,40.91,29,12.998,79,206,285
7451,2012-05-09 20:00:00,2,0,1,3,20.5,24.24,82,15.0013,3,48,51
786,2011-02-16 05:00:00,1,0,1,1,8.2,9.85,47,12.998,0,5,5
6055,2012-02-08 13:00:00,1,0,1,2,11.48,14.395,61,7.0015,15,111,126
9382,2012-09-14 07:00:00,3,0,1,2,22.96,26.515,88,0.0,17,437,454
2071,2011-05-13 05:00:00,2,0,1,2,20.5,24.24,88,12.998,1,24,25
769,2011-02-15 11:00:00,1,0,1,1,10.66,12.12,25,16.9979,11,46,57
1993,2011-05-09 23:00:00,2,0,1,1,20.5,24.24,68,6.0032,16,45,61
1173,2011-03-13 14:00:00,1,0,0,1,18.86,22.725,41,19.9995,144,106,250
2150,2011-05-16 12:00:00,2,0,1,1,27.06,31.06,54,6.0032,72,137,209
6968,2012-04-08 16:00:00,2,0,0,1,26.24,30.305,19,22.0028,232,244,476
7644,2012-05-17 21:00:00,2,0,1,1,23.78,27.275,40,7.0015,45,254,299
9322,2012-09-11 19:00:00,3,0,1,1,25.42,31.06,41,12.998,56,540,596
5652,2012-01-10 16:00:00,1,0,1,1,17.22,21.21,38,23.9994,15,225,240
502,2011-02-04 01:00:00,1,0,1,2,6.56,11.365,59,0.0,0,7,7
3624,2011-09-01 22:00:00,3,0,1,2,27.06,31.06,57,15.0013,34,145,179
671,2011-02-11 07:00:00,1,0,1,1,3.28,8.335,73,0.0,1,73,74
5644,2012-01-10 08:00:00,1,0,1,2,7.38,9.85,93,11.0014,6,465,471
7153,2012-04-16 10:00:00,2,1,0,1,25.42,30.305,69,16.9979,75,149,224
405,2011-01-18 21:00:00,1,0,1,2,9.02,12.12,93,7.0015,0,41,41
6003,2012-02-06 09:00:00,1,0,1,1,7.38,10.605,80,7.0015,8,269,277
7011,2012-04-10 11:00:00,2,0,1,1,20.5,24.24,36,0.0,78,161,239
3957,2011-09-15 22:00:00,3,0,1,1,18.04,21.97,67,19.0012,7,108,115
3693,2011-09-04 19:00:00,3,0,0,1,30.34,34.85,70,12.998,178,150,328
5609,2012-01-08 20:00:00,1,0,0,1,12.3,15.15,52,11.0014,7,119,126
10501,2012-12-03 23:00:00,4,0,1,1,17.22,21.21,82,7.0015,9,93,102
10500,2012-12-03 22:00:00,4,0,1,1,17.22,21.21,82,7.0015,5,139,144
5129,2011-12-07 19:00:00,4,0,1,3,13.94,14.395,87,43.0006,2,31,33
7308,2012-05-03 21:00:00,2,0,1,1,25.42,29.545,78,8.9981,42,257,299
10864,2012-12-19 02:00:00,4,0,1,1,11.48,15.15,65,6.0032,1,2,3
5142,2011-12-08 08:00:00,4,0,1,1,9.02,10.605,55,19.0012,11,418,429
4852,2011-11-15 06:00:00,4,0,1,2,22.96,26.515,64,6.0032,4,104,108
10856,2012-12-18 18:00:00,4,0,1,1,15.58,19.695,46,22.0028,13,512,525
3029,2011-07-15 03:00:00,3,0,1,1,24.6,29.545,73,12.998,1,6,7
1779,2011-05-01 01:00:00,2,0,0,1,17.22,21.21,69,7.0015,9,50,59
2196,2011-05-18 10:00:00,2,0,1,3,22.14,25.76,88,19.0012,33,73,106
1757,2011-04-19 03:00:00,2,0,1,1,19.68,23.485,63,15.0013,0,3,3
5531,2012-01-05 14:00:00,1,0,1,1,13.94,15.91,39,19.0012,13,104,117
6824,2012-04-02 16:00:00,2,0,1,1,20.5,24.24,34,22.0028,104,291,395
1424,2011-04-05 05:00:00,2,0,1,3,18.86,22.725,94,19.9995,0,5,5
10285,2012-11-13 23:00:00,4,0,1,1,10.66,11.365,56,19.9995,6,78,84
304,2011-01-14 03:00:00,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
3264,2011-08-05 22:00:00,3,0,1,1,28.7,32.575,65,15.0013,51,137,188
84,2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
4491,2011-10-19 05:00:00,4,0,1,3,20.5,24.24,100,7.0015,0,3,3
2426,2011-06-09 00:00:00,2,0,1,2,30.34,35.605,79,8.9981,7,40,47
9174,2012-09-05 15:00:00,3,0,1,1,31.98,38.635,70,12.998,41,204,245
208,2011-01-09 23:00:00,1,0,0,1,4.92,6.82,50,12.998,0,6,6
9963,2012-10-19 12:00:00,4,0,1,1,26.24,30.305,69,15.0013,74,258,332
1467,2011-04-07 00:00:00,2,0,1,1,18.86,22.725,41,19.0012,5,15,20
4218,2011-10-07 19:00:00,4,0,1,1,22.96,26.515,52,0.0,51,243,294
6443,2012-03-05 17:00:00,1,0,1,3,12.3,13.635,45,19.9995,11,376,387
10058,2012-11-04 11:00:00,4,0,0,1,15.58,19.695,46,15.0013,134,311,445
7132,2012-04-15 13:00:00,2,0,0,1,27.06,31.06,44,19.0012,298,383,681
399,2011-01-18 15:00:00,1,0,1,2,9.02,11.365,87,11.0014,3,32,35
8696,2012-08-04 17:00:00,3,0,0,1,36.08,39.395,37,19.9995,179,313,492
4163,2011-10-05 12:00:00,4,0,1,1,25.42,31.06,43,22.0028,34,180,214
6761,2012-03-19 00:00:00,1,0,1,1,19.68,23.485,82,7.0015,4,19,23
10626,2012-12-09 04:00:00,4,0,0,2,16.4,20.455,94,7.0015,1,11,12
7397,2012-05-07 14:00:00,2,0,1,2,25.42,31.06,50,23.9994,59,180,239
1677,2011-04-15 19:00:00,2,1,0,1,17.22,21.21,77,26.0027,41,168,209
10608,2012-12-08 10:00:00,4,0,0,2,16.4,20.455,87,8.9981,43,244,287
764,2011-02-15 06:00:00,1,0,1,1,8.2,9.09,32,22.0028,0,30,30
10343,2012-11-16 09:00:00,4,0,1,1,13.94,17.425,53,7.0015,21,330,351
7152,2012-04-16 09:00:00,2,1,0,1,25.42,30.305,69,15.0013,59,238,297
4287,2011-10-10 16:00:00,4,1,0,2,28.7,31.82,45,6.0032,154,248,402
6268,2012-02-17 10:00:00,1,0,1,1,13.94,15.91,71,19.0012,13,103,116
5564,2012-01-06 23:00:00,1,0,1,1,14.76,18.94,50,0.0,13,88,101
8653,2012-08-02 22:00:00,3,0,1,1,30.34,34.85,70,12.998,35,227,262
7987,2012-06-13 04:00:00,2,0,1,1,24.6,28.03,83,8.9981,1,9,10
8083,2012-06-17 04:00:00,2,0,0,1,22.14,25.76,64,6.0032,2,16,18
9620,2012-10-05 05:00:00,4,0,1,1,21.32,25.0,77,0.0,0,41,41
8560,2012-07-18 01:00:00,3,0,1,1,31.16,36.365,66,7.0015,2,14,16
6697,2012-03-16 08:00:00,1,0,1,2,16.4,20.455,87,15.0013,28,534,562
6361,2012-03-02 07:00:00,1,0,1,1,12.3,16.665,70,0.0,4,258,262
9038,2012-08-18 23:00:00,3,0,0,1,26.24,30.305,65,6.0032,60,175,235
8369,2012-07-10 02:00:00,3,0,1,1,28.7,33.335,74,8.9981,1,15,16
5643,2012-01-10 07:00:00,1,0,1,2,7.38,9.85,93,11.0014,3,219,222
6273,2012-02-17 15:00:00,1,0,1,1,17.22,21.21,35,27.9993,41,180,221
5792,2012-01-16 12:00:00,1,1,0,1,8.2,9.09,55,22.0028,20,165,185
2200,2011-05-18 14:00:00,2,0,1,2,23.78,27.275,78,19.0012,44,94,138
7708,2012-06-01 13:00:00,2,0,1,1,29.52,34.09,70,19.9995,76,240,316
1233,2011-03-16 05:00:00,1,0,1,2,12.3,15.91,93,7.0015,0,3,3
3842,2011-09-11 02:00:00,3,0,0,2,25.42,29.545,78,12.998,16,60,76
8770,2012-08-07 19:00:00,3,0,1,2,31.16,36.365,66,7.0015,104,506,610
1269,2011-03-17 17:00:00,1,0,1,1,20.5,24.24,42,12.998,48,265,313
2871,2011-07-08 13:00:00,3,0,1,2,31.98,37.88,66,19.0012,54,175,229
10661,2012-12-10 15:00:00,4,0,1,2,20.5,24.24,87,11.0014,29,207,236
3580,2011-08-19 02:00:00,3,0,1,3,26.24,28.79,83,0.0,0,8,8
